date,conversion_rate,revenue,aov
27-07-2026,0.0364,1460,85.88
28-07-2026,0.0272,1478,105.57
29-07-2026,0.0381,1963,109.06
30-07-2026,0.0426,1718,107.38
31-07-2026,0.0237,1800,90
01-08-2026,0.0452,2251,83.37
02-08-2026,0.0344,2075,94.32
03-08-2026,0.0381,1651,91.72
04-08-2026,0.0304,1200,92.31
05-08-2026,0.0424,3193,88.69
06-08-2026,0.0349,3555,111.09
07-08-2026,0.0377,1320,73.33
08-08-2026,0.0358,2566,102.64
09-08-2026,0.0246,1858,88.48
10-08-2026,0.0423,1208,80.53
11-08-2026,0.0479,1360,90.67
12-08-2026,0.0267,1552,77.6
13-08-2026,0.0243,1892,99.58
14-08-2026,0.0274,1668,83.4
15-08-2026,0.0312,918,70.62
16-08-2026,0.0433,863,86.3
17-08-2026,0.0351,650,108.33
18-08-2026,0.0314,1033,103.3
19-08-2026,0.0299,1600,84.21
20-08-2026,0.0324,1424,83.76
21-08-2026,0.0321,1152,88.62
22-08-2026,0.0522,2692,86.84
23-08-2026,0.0444,2262,87
24-08-2026,0.0304,1665,92.5
25-08-2026,0.0451,983,75.62
