date,visitors,orders,revenue,ad_spend,conversion_rate,aov,cac,revenue_growth_pct
2025-08-01,1025,33,1570.69,903.44,0.0322,47.6,27.38,
2025-08-02,1152,31,1632.57,808.88,0.0269,52.66,26.09,3.94
2025-08-03,1231,32,1422.6,1038.09,0.026,44.46,32.44,-12.86
2025-08-04,1167,37,1739.32,1077.69,0.0317,47.01,29.13,22.259999999999998
2025-08-05,907,26,1259.72,478.32,0.0287,48.45,18.4,-27.57
2025-08-06,803,26,1117.84,563.05,0.0324,42.99,21.66,-11.26
2025-08-07,940,30,1383.61,809.57,0.0319,46.12,26.99,23.78
2025-08-08,1061,32,1442.01,828.52,0.0302,45.06,25.89,4.22
2025-08-09,1156,31,1410.14,961.63,0.0268,45.49,31.02,-2.21
2025-08-10,1240,30,1234.05,931.62,0.0242,41.14,31.05,-12.49
2025-08-11,1077,30,1353.68,870.11,0.0279,45.12,29.0,9.69
2025-08-12,905,30,1424.7,708.2,0.0331,47.49,23.61,5.25
2025-08-13,842,26,1358.65,790.06,0.0309,52.26,30.39,-4.64
2025-08-14,785,20,995.93,653.82,0.0255,49.8,32.69,-26.700000000000003
2025-08-15,959,29,1617.21,801.01,0.0302,55.77,27.62,62.38
2025-08-16,1171,37,1523.04,895.37,0.0316,41.16,24.2,-5.82
2025-08-17,1176,31,1530.21,891.96,0.0264,49.36,28.77,0.47000000000000003
2025-08-18,1125,34,1561.17,856.6,0.0302,45.92,25.19,2.02
2025-08-19,892,27,1510.62,753.17,0.0303,55.95,27.9,-3.2399999999999998
2025-08-20,774,20,819.17,576.71,0.0258,40.96,28.84,-45.769999999999996
2025-08-21,975,31,1264.84,808.88,0.0318,40.8,26.09,54.410000000000004
2025-08-22,1057,34,1428.1,1052.87,0.0322,42.0,30.97,12.91
2025-08-23,1222,42,1443.98,1064.46,0.0344,34.38,25.34,1.11
2025-08-24,1169,40,1694.85,902.38,0.0342,42.37,22.56,17.37
2025-08-25,1091,27,1112.52,992.86,0.0247,41.2,36.77,-34.36
2025-08-26,953,25,1143.8,721.42,0.0262,45.75,28.86,2.81
2025-08-27,801,26,1214.43,437.33,0.0325,46.71,16.82,6.18
2025-08-28,941,30,1631.43,652.0,0.0319,54.38,21.73,34.339999999999996
2025-08-29,1061,34,1691.57,661.34,0.032,49.75,19.45,3.6900000000000004
2025-08-30,1223,56,2358.47,943.25,0.0458,42.12,16.84,39.42
2025-08-31,1223,39,1579.81,980.3,0.0319,40.51,25.14,-33.019999999999996
2025-09-01,1220,42,1993.3,1143.42,0.0344,47.46,27.22,26.169999999999998
2025-09-02,956,32,1228.76,797.8,0.0335,38.4,24.93,-38.36
2025-09-03,821,27,1462.25,635.05,0.0329,54.16,23.52,19.0
2025-09-04,984,28,1425.12,870.27,0.0285,50.9,31.08,-2.54
2025-09-05,1052,35,1492.89,620.56,0.0333,42.65,17.73,4.760000000000001
2025-09-06,1267,34,1238.77,1037.24,0.0268,36.43,30.51,-17.02
2025-09-07,1168,34,1760.16,1011.59,0.0291,51.77,29.75,42.089999999999996
