date,ad_spend,website_visits
2026-07-27,823.19,467
2026-07-28,985.08,515
2026-07-29,754.15,473
2026-07-30,547.01,376
2026-07-31,1430.89,844
2026-08-01,1125.54,597
2026-08-02,1001.9,640
2026-08-03,1005.8,473
2026-08-04,670.26,427
2026-08-05,2560.85,850
2026-08-06,2668.51,916
2026-08-07,763.24,477
2026-08-08,1353.54,699
2026-08-09,1381.87,853
2026-08-10,726.25,355
2026-08-11,510.68,313
2026-08-12,1352.6,749
2026-08-13,1289.67,783
2026-08-14,1151.55,729
2026-08-15,333.29,417
2026-08-16,149.5,231
2026-08-17,127.5,171
2026-08-18,274.7,318
2026-08-19,1052.91,635
2026-08-20,1096.34,524
2026-08-21,580.04,405
2026-08-22,938.84,594
2026-08-23,1248.32,586
2026-08-24,1085.08,593
2026-08-25,477.08,288
