date,ad_spend,website_visits
2026-07-27,1560.6,224
2026-07-28,1528.45,230
2026-07-29,1045.23,224
2026-07-30,2017.81,270
2026-07-31,1173.64,206
2026-08-01,2180.48,438
2026-08-02,2120.29,372
2026-08-03,1696.44,315
2026-08-04,2007.69,277
2026-08-05,396.18,84
2026-08-06,1357.74,236
2026-08-07,2494.14,368
2026-08-08,1594.98,320
2026-08-09,3692.97,532
2026-08-10,2551.12,348
2026-08-11,1448.02,244
2026-08-12,1290.46,183
2026-08-13,1328.72,244
2026-08-14,2348.62,512
2026-08-15,2948.94,454
2026-08-16,2042.86,430
2026-08-17,1131.3,235
2026-08-18,1798.77,306
2026-08-19,957.37,168
2026-08-20,1910.0,347
2026-08-21,1352.5,271
2026-08-22,2575.58,420
2026-08-23,2908.66,555
2026-08-24,1508.66,204
2026-08-25,1471.81,203
