order_id,customer_id,product_id,unit_price,production_cost,quantity,order_date
ORD00001,CUST0015,shinchan,45,20,2,2026-07-27
ORD00002,CUST0014,mrbean,35,15,1,2026-07-27
ORD00003,CUST0005,doraemon,39,17,1,2026-07-27
ORD00004,CUST0010,dragonballz,55,25,3,2026-07-27
ORD00005,CUST0006,pokemon,49,22,1,2026-07-27
ORD00006,CUST0016,pokemon,49,22,1,2026-07-27
ORD00007,CUST0001,mrbean,35,15,1,2026-07-27
ORD00008,CUST0007,doraemon,39,17,1,2026-07-27
ORD00009,CUST0013,doraemon,39,17,1,2026-07-27
ORD00010,CUST0017,pokemon,49,22,2,2026-07-27
ORD00011,CUST0011,pokemon,49,22,4,2026-07-27
ORD00012,CUST0002,pokemon,49,22,1,2026-07-27
ORD00013,CUST0012,shinchan,45,20,3,2026-07-27
ORD00014,CUST0003,doraemon,39,17,1,2026-07-27
ORD00015,CUST0004,pokemon,49,22,2,2026-07-27
ORD00016,CUST0008,mrbean,35,15,4,2026-07-27
ORD00017,CUST0009,dragonballz,55,25,3,2026-07-27
ORD00018,CUST0009,pokemon,49,22,4,2026-07-28
ORD00019,CUST0007,dragonballz,55,25,1,2026-07-28
ORD00020,CUST0006,shinchan,45,20,1,2026-07-28
ORD00021,CUST0006,dragonballz,55,25,2,2026-07-28
ORD00022,CUST0020,pokemon,49,22,1,2026-07-28
ORD00023,CUST0025,shinchan,45,20,1,2026-07-28
ORD00024,CUST0019,shinchan,45,20,3,2026-07-28
ORD00025,CUST0018,doraemon,39,17,1,2026-07-28
ORD00026,CUST0008,dragonballz,55,25,2,2026-07-28
ORD00027,CUST0021,pokemon,49,22,1,2026-07-28
ORD00028,CUST0012,pokemon,49,22,2,2026-07-28
ORD00029,CUST0012,dragonballz,55,25,1,2026-07-28
ORD00030,CUST0012,pokemon,49,22,1,2026-07-28
ORD00031,CUST0022,dragonballz,55,25,2,2026-07-28
ORD00032,CUST0024,dragonballz,55,25,3,2026-07-28
ORD00033,CUST0003,pokemon,49,22,2,2026-07-28
ORD00034,CUST0023,mrbean,35,15,2,2026-07-28
ORD00035,CUST0027,pokemon,49,22,2,2026-07-29
ORD00036,CUST0029,pokemon,49,22,2,2026-07-29
ORD00037,CUST0025,dragonballz,55,25,4,2026-07-29
ORD00038,CUST0004,shinchan,45,20,1,2026-07-29
ORD00039,CUST0009,shinchan,45,20,4,2026-07-29
ORD00040,CUST0017,pokemon,49,22,2,2026-07-29
ORD00041,CUST0001,shinchan,45,20,4,2026-07-29
ORD00042,CUST0033,dragonballz,55,25,3,2026-07-29
ORD00043,CUST0031,mrbean,35,15,2,2026-07-29
ORD00044,CUST0021,doraemon,39,17,2,2026-07-29
ORD00045,CUST0026,doraemon,39,17,3,2026-07-29
ORD00046,CUST0017,doraemon,39,17,1,2026-07-29
ORD00047,CUST0034,pokemon,49,22,1,2026-07-29
ORD00048,CUST0028,shinchan,45,20,2,2026-07-29
ORD00049,CUST0024,pokemon,49,22,2,2026-07-29
ORD00050,CUST0024,pokemon,49,22,1,2026-07-29
ORD00051,CUST0030,pokemon,49,22,1,2026-07-29
ORD00052,CUST0032,shinchan,45,20,1,2026-07-29
ORD00053,CUST0006,shinchan,45,20,2,2026-07-29
ORD00054,CUST0015,mrbean,35,15,3,2026-07-29
ORD00055,CUST0040,dragonballz,55,25,1,2026-07-30
ORD00056,CUST0035,dragonballz,55,25,3,2026-07-30
ORD00057,CUST0039,pokemon,49,22,2,2026-07-30
ORD00058,CUST0037,shinchan,45,20,1,2026-07-30
ORD00059,CUST0041,pokemon,49,22,3,2026-07-30
ORD00060,CUST0027,pokemon,49,22,1,2026-07-30
ORD00061,CUST0023,shinchan,45,20,3,2026-07-30
ORD00062,CUST0042,dragonballz,55,25,1,2026-07-30
ORD00063,CUST0031,pokemon,49,22,1,2026-07-30
ORD00064,CUST0028,dragonballz,55,25,3,2026-07-30
ORD00065,CUST0007,doraemon,39,17,2,2026-07-30
ORD00066,CUST0004,mrbean,35,15,3,2026-07-30
ORD00067,CUST0030,mrbean,35,15,2,2026-07-30
ORD00068,CUST0028,pokemon,49,22,1,2026-07-30
ORD00069,CUST0027,pokemon,49,22,2,2026-07-30
ORD00070,CUST0013,pokemon,49,22,1,2026-07-30
ORD00071,CUST0007,pokemon,49,22,2,2026-07-30
ORD00072,CUST0036,dragonballz,55,25,2,2026-07-30
ORD00073,CUST0038,pokemon,49,22,2,2026-07-30
ORD00074,CUST0040,shinchan,45,20,1,2026-07-31
ORD00075,CUST0039,doraemon,39,17,1,2026-07-31
ORD00076,CUST0038,pokemon,49,22,1,2026-07-31
ORD00077,CUST0003,doraemon,39,17,2,2026-07-31
ORD00078,CUST0026,doraemon,39,17,4,2026-07-31
ORD00079,CUST0037,dragonballz,55,25,2,2026-07-31
ORD00080,CUST0046,mrbean,35,15,2,2026-07-31
ORD00081,CUST0043,dragonballz,55,25,1,2026-07-31
ORD00082,CUST0044,dragonballz,55,25,1,2026-07-31
ORD00083,CUST0048,dragonballz,55,25,2,2026-07-31
ORD00084,CUST0006,pokemon,49,22,1,2026-07-31
