order_id,customer_id,product_id,unit_price,production_cost,quantity,order_date
ORD00001,CUST0015,shinchan,45,19.84,2,2026-07-27
ORD00002,CUST0014,mrbean,35,14.54,1,2026-07-27
ORD00003,CUST0005,doraemon,39,17.59,1,2026-07-27
ORD00004,CUST0010,dragonballz,55,23.99,3,2026-07-27
ORD00005,CUST0006,pokemon,49,22.43,1,2026-07-27
ORD00006,CUST0016,pokemon,49,21.95,1,2026-07-27
ORD00007,CUST0001,mrbean,35,14.36,1,2026-07-27
ORD00008,CUST0007,doraemon,39,17.27,1,2026-07-27
ORD00009,CUST0013,doraemon,39,16.23,1,2026-07-27
ORD00010,CUST0017,pokemon,49,22.14,2,2026-07-27
ORD00011,CUST0011,pokemon,49,21.1,4,2026-07-27
ORD00012,CUST0002,pokemon,49,21.16,1,2026-07-27
ORD00013,CUST0012,shinchan,45,20.1,3,2026-07-27
ORD00014,CUST0003,doraemon,39,17.98,1,2026-07-27
ORD00015,CUST0004,pokemon,49,21.25,2,2026-07-27
ORD00016,CUST0008,mrbean,35,14.69,4,2026-07-27
ORD00017,CUST0009,dragonballz,55,25.79,3,2026-07-27
ORD00018,CUST0009,pokemon,49,23.61,4,2026-07-28
ORD00019,CUST0007,dragonballz,55,25.63,1,2026-07-28
ORD00020,CUST0006,shinchan,45,20.03,1,2026-07-28
ORD00021,CUST0006,dragonballz,55,26.92,2,2026-07-28
ORD00022,CUST0020,pokemon,49,21.03,1,2026-07-28
ORD00023,CUST0025,shinchan,45,21.23,1,2026-07-28
ORD00024,CUST0019,shinchan,45,19.75,3,2026-07-28
ORD00025,CUST0018,doraemon,39,16.47,1,2026-07-28
ORD00026,CUST0008,dragonballz,55,24.13,2,2026-07-28
ORD00027,CUST0021,pokemon,49,21.78,1,2026-07-28
ORD00028,CUST0012,pokemon,49,23.23,2,2026-07-28
ORD00029,CUST0012,dragonballz,55,24.34,1,2026-07-28
ORD00030,CUST0012,pokemon,49,22.56,1,2026-07-28
ORD00031,CUST0022,dragonballz,55,25.83,2,2026-07-28
ORD00032,CUST0024,dragonballz,55,24.96,3,2026-07-28
ORD00033,CUST0003,pokemon,49,22.47,2,2026-07-28
ORD00034,CUST0023,mrbean,35,14.37,2,2026-07-28
ORD00035,CUST0027,pokemon,49,21.07,2,2026-07-29
ORD00036,CUST0029,pokemon,49,21.49,2,2026-07-29
ORD00037,CUST0025,dragonballz,55,25.96,4,2026-07-29
ORD00038,CUST0004,shinchan,45,20.11,1,2026-07-29
ORD00039,CUST0009,shinchan,45,19.82,4,2026-07-29
ORD00040,CUST0017,pokemon,49,22.57,2,2026-07-29
ORD00041,CUST0001,shinchan,45,20.18,4,2026-07-29
ORD00042,CUST0033,dragonballz,55,24.72,3,2026-07-29
ORD00043,CUST0031,mrbean,35,15.8,2,2026-07-29
ORD00044,CUST0021,doraemon,39,17.69,2,2026-07-29
ORD00045,CUST0026,doraemon,39,16.69,3,2026-07-29
ORD00046,CUST0017,doraemon,39,17.42,1,2026-07-29
ORD00047,CUST0034,pokemon,49,22.4,1,2026-07-29
ORD00048,CUST0028,shinchan,45,21.28,2,2026-07-29
