date,visitors,orders,cac
27-07-2026,1025,33,27.38
28-07-2026,1152,31,26.09
29-07-2026,1231,32,32.44
30-07-2026,1167,37,29.13
31-07-2026,907,26,18.4
01-08-2026,803,26,21.66
02-08-2026,940,30,26.99
03-08-2026,1061,32,25.89
04-08-2026,1156,31,31.02
05-08-2026,1240,30,31.05
06-08-2026,1077,30,29
07-08-2026,905,30,23.61
08-08-2026,842,26,30.39
09-08-2026,785,20,32.69
10-08-2026,959,29,27.62
11-08-2026,1171,37,24.2
12-08-2026,1176,31,28.77
13-08-2026,1125,34,25.19
14-08-2026,892,27,27.9
15-08-2026,774,20,28.84
16-08-2026,975,31,26.09
17-08-2026,1057,34,30.97
18-08-2026,1222,42,25.34
19-08-2026,1169,40,22.56
20-08-2026,1091,27,36.77
21-08-2026,953,25,28.86
22-08-2026,801,26,16.82
23-08-2026,941,30,21.73
24-08-2026,1061,34,19.45
25-08-2026,1223,56,16.84
,,,
